2022-02-10 07:59:44,477  * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
2022-02-10 08:02:38,118 update error. domainId: 1258, operator name: VegasHero 
2022-02-10 08:02:39,304 update error. domainId: 2574, operator name: Dream88.com 
2022-02-10 08:02:39,305 update error. domainId: 2574, operator name: Dream88.com 
2022-02-10 08:02:40,058 update error. domainId: 2034, operator name: Betsmove 
2022-02-10 08:02:43,661 update error. domainId: 2521, operator name: Luckyways.com 
2022-02-10 08:02:44,970 update error. domainId: 2215, operator name: Kavbet 
2022-02-10 08:02:46,194 update error. domainId: 2223, operator name: Elite24bet.com 
2022-02-10 08:02:47,427 update error. domainId: 2218, operator name: Holiganbet (int) 
2022-02-10 08:02:51,084 update error. domainId: 2119, operator name: Casoola 
2022-02-10 08:02:51,084 update error. domainId: 2119, operator name: Casoola 
2022-02-10 08:02:51,886 update error. domainId: 2474, operator name: Player.ro 
2022-02-10 08:02:57,785 update error. domainId: 2224, operator name: Elitebet.pl 
2022-02-10 08:02:58,234 update error. domainId: 2224, operator name: Elitebet.pl 
2022-02-10 08:02:59,066 update error. domainId: 2362, operator name: Vindercasino.dk 
2022-02-10 08:02:59,743 update error. domainId: 2362, operator name: Conticazino.ro 
2022-02-10 08:03:02,924 update error. domainId: 2098, operator name: Turboslot 
2022-02-10 08:03:05,192 update error. domainId: 1236, operator name: Casino.tv 
2022-02-10 08:03:06,495 update error. domainId: 1909, operator name: Pelaa 
2022-02-10 08:03:06,495 update error. domainId: 1909, operator name: Pelaa 
2022-02-10 08:03:06,742 update error. domainId: 2127, operator name: Casoola 
2022-02-10 08:03:06,742 update error. domainId: 2127, operator name: Casoola 
2022-02-10 08:03:08,261 update error. domainId: 1096, operator name: CasinoCruise 
2022-02-10 08:03:08,261 update error. domainId: 1096, operator name: CasinoCruise 
2022-02-10 08:03:09,969 update error. domainId: 1917, operator name: CasinoGods 
2022-02-10 08:03:09,970 update error. domainId: 1917, operator name: CasinoGods 
2022-02-10 08:03:10,749 update error. domainId: 2358, operator name: wunderino.int 
2022-02-10 08:03:12,490 update error. domainId: 1873, operator name: CasinoJoy 
2022-02-10 08:03:12,490 update error. domainId: 1873, operator name: CasinoJoy 
2022-02-10 08:03:13,722 update error. domainId: 2476, operator name: GetsBet.ro 
2022-02-10 08:03:13,722 update error. domainId: 2476, operator name: GetsBet.ro 
2022-02-10 08:03:18,733 update error. domainId: 2007, operator name: Mavibet 
2022-02-10 08:03:19,423 update error. domainId: 2183, operator name: Betdoksan 
2022-02-10 08:03:20,673 update error. domainId: 2268, operator name: Mysino 
2022-02-10 08:03:22,381 update error. domainId: 1066, operator name: Dragonara.com 
2022-02-10 08:03:22,381 update error. domainId: 1066, operator name: Dragonara.com 
2022-02-10 08:03:25,296 update error. domainId: 2247, operator name: wunderino.de 
2022-02-10 08:03:26,304 update error. domainId: 1634, operator name: SpinIt 
2022-02-10 08:03:26,304 update error. domainId: 1634, operator name: SpinIt 
2022-02-10 08:03:28,170 update error. domainId: 2357, operator name: winmasters.com 
2022-02-10 08:03:30,274 update error. domainId: 2062, operator name: Kassu 
2022-02-10 08:03:32,015 update error. domainId: 2096, operator name: demo prod 
2022-02-10 08:03:32,973 update error. domainId: 2523, operator name: Catsino.club 
2022-02-10 08:03:33,426 update error. domainId: 2523, operator name: Catsino.club 
2022-02-10 08:03:35,211 update error. domainId: 1096, operator name: CasinoCruise 
2022-02-10 08:03:35,211 update error. domainId: 1096, operator name: CasinoCruise 
2022-02-10 08:03:39,514 update error. domainId: 2571, operator name: GmMilestone1.5 
2022-02-10 08:03:39,515 update error. domainId: 2571, operator name: GmMilestone1.5 
2022-02-10 08:03:40,335 update error. domainId: 1855, operator name: Spela 
2022-02-10 08:03:40,335 update error. domainId: 1855, operator name: Spela 
2022-02-10 08:03:42,251 update error. domainId: 2529, operator name: uk.bet-at-home.com 
2022-02-10 08:03:45,025 update error. domainId: 2189, operator name: Torobet 
2022-02-10 08:03:45,775 update error. domainId: 2576, operator name: GmMilestone1.5 
2022-02-10 08:03:45,775 update error. domainId: 2576, operator name: GmMilestone1.5 
2022-02-10 08:03:46,026 update error. domainId: 2367, operator name: Izibet.com 
2022-02-10 08:03:46,027 update error. domainId: 2367, operator name: Izibet.com 
2022-02-10 08:03:48,138 update error. domainId: 1831, operator name: Spela 
2022-02-10 08:03:48,139 update error. domainId: 1831, operator name: Spela 
2022-02-10 08:03:48,408 Update sites version ends. total spent time : 177.90104180015624 
2022-02-10 08:03:48,409 
2022-02-10 08:03:48,409 
2022-02-10 08:03:48,409 
2022-02-10 08:03:48,409 
2022-02-10 08:03:48,410 Manual update successfully.
2022-02-10 08:03:48,412 127.0.0.1 - - [10/Feb/2022 08:03:48] "GET /update_version HTTP/1.1" 200 -
